,AAPL,TSLA,GOOGL,MSFT,WDC
2012-06-07,81.674286,28.93,289.404419,29.23,30.82
2012-06-08,82.902855,30.08,290.51550299999997,29.65,31.23
2012-06-11,81.595711,29.120001000000002,284.534546,28.9,30.66
2012-06-12,82.308571,29.66,282.832825,29.290001,30.540001
2012-06-13,81.737144,29.77,280.825836,29.129998999999998,30.34
2012-06-14,81.647141,29.389999,279.80481000000003,29.34,30.200001
2012-06-15,82.01857,29.91,282.537537,30.02,30.690001000000002
2012-06-18,83.682854,31.84,285.710724,29.84,30.549999
2012-06-19,83.915718,32.09,291.056061,30.700001,30.860001
2012-06-20,83.677139,33.779999,289.044037,30.93,30.889999
2012-06-21,82.524284,32.189999,282.887878,30.139999,29.370001000000002
2012-06-22,83.157143,33.790001000000004,286.026031,30.700001,29.700001
2012-06-25,81.538574,33.110001000000004,280.630646,29.870001000000002,28.93
2012-06-26,81.718575,31.610001,282.62262000000004,30.02,29.129998999999998
2012-06-27,82.071426,31.959999,284.934937,30.17,29.799999
2012-06-28,81.292854,31.41,282.43743900000004,29.91,28.799999
2012-06-29,83.428574,31.290001,290.325317,30.59,30.48
2012-07-02,84.645714,30.4,290.525513,30.559998999999998,29.84
2012-07-03,85.629997,30.66,294.209198,30.76,30.98
2012-07-05,87.13428499999999,31.23,298.25827000000004,30.700001,30.68
2012-07-06,86.554283,30.99,293.283295,30.190001000000002,31.02
2012-07-09,87.69856999999999,31.49,293.29830899999996,30.0,31.530001000000002
2012-07-10,86.887146,31.27,291.141144,29.74,32.009997999999996
2012-07-11,86.347145,31.51,285.88088999999997,29.299999,31.5
2012-07-12,85.557144,32.700001,285.525513,28.629998999999998,31.35
2012-07-13,86.424286,34.25,288.54855299999997,29.389999,31.58
2012-07-16,86.701431,35.959998999999996,287.747742,29.440001000000002,31.620001000000002
2012-07-17,86.705711,33.349998,288.653656,29.66,31.969998999999998
2012-07-18,86.608574,32.150002,290.670685,30.450001,33.400002
2012-07-19,87.760002,32.27,296.826813,30.67,32.709998999999996
2012-07-20,86.328575,31.790001,305.715729,30.120001000000002,32.07
2012-07-23,86.261429,30.66,308.06304900000003,29.280001000000002,32.279999
2012-07-24,85.845711,29.84,304.089081,29.15,31.77
2012-07-25,82.138573,28.950001,304.299286,28.83,32.470001
2012-07-26,82.12571700000001,28.129998999999998,306.987,29.16,39.27
2012-07-27,83.594284,29.51,317.797791,29.76,39.919998
2012-07-30,85.004288,27.35,316.466461,29.639999,40.169998
